id,f0,fd,levels,dataDir
0,500,250,5,data/y0205mA_pump2500mV_fd0250Hz/
1,500,750,3,data/y0205mA_pump2500mV_fd0750Hz/
2,500,1000,2,data/y0205mA_pump2500mV_fd1000Hz/
3,500,1250,2,data/y0205mA_pump2500mV_fd1250Hz/
4,1000,250,13,data/y0415mA_pump2500mV_fd0250Hz/
5,1000,300,9,data/y0415mA_pump2500mV_fd0300Hz/
6,1000,350,9,data/y0415mA_pump2500mV_fd0350Hz/
7,1000,500,5,data/y0415mA_pump2500mV_fd0500Hz/
8,1000,750,5,data/y0415mA_pump2500mV_fd0750Hz/
9,1000,1250,3,data/y0415mA_pump2500mV_fd1250Hz/
10,1000,1500,3,data/y0415mA_pump2500mV_fd1500Hz/
11,1000,1750,3,data/y0415mA_pump2500mV_fd1750Hz/
12,1000,2000,3,data/y0415mA_pump2500mV_fd2000Hz/